Rotational Speed,Torque,Tool Wear,Failure,Failure_Type,Temperature_K
1913,61.65,93.7,1,Power Failure,354.53999999999996
1971,50.17,132.6,0,No Failure,333.91999999999996
1569,40.05,68.1,0,No Failure,335.84999999999997
823,32.28,135.5,0,No Failure,308.15
1560,29.82,23.7,0,No Failure,325.39
1768,47.8,168.3,0,No Failure,339.15
1503,40.19,136.9,0,No Failure,335.66999999999996
1487,66.65,118.3,0,No Failure,308.15
1213,42.41,182.5,0,No Failure,335.84
1199,45.82,95.2,0,No Failure,337.91999999999996
2193,25.56,77.9,1,Heat Dissipation Failure,349.84
2206,39.95,197.4,1,Tool Wear Failure,324.63
1549,47.48,225.4,1,Tool Wear Failure,308.15
1649,39.78,73.4,0,No Failure,320.19
1207,38.2,108.2,0,No Failure,318.89
1775,49.58,177.7,0,No Failure,342.72999999999996
2166,66.21,110.3,1,Power Failure,308.15
1015,47.03,150.7,0,No Failure,327.32
1712,61.02,161.8,1,Power Failure,351.69
1739,53.7,81.3,0,No Failure,333.24
1735,60.18,140.2,0,No Failure,344.79999999999995
2125,36.46,114.6,0,No Failure,311.80999999999995
2263,42.1,42.0,1,Heat Dissipation Failure,312.32
1468,42.16,55.6,0,No Failure,351.83
1786,52.65,75.9,0,No Failure,334.46999999999997
1579,56.09,170.7,0,No Failure,334.49
1329,46.75,172.7,0,No Failure,318.60999999999996
1645,57.27,160.0,0,No Failure,334.46
1785,37.11,141.4,0,No Failure,318.25
1626,57.4,139.8,0,No Failure,348.58
1242,59.22,131.7,1,Heat Dissipation Failure,368.60999999999996
1388,54.48,139.5,0,No Failure,339.44
1390,46.88,143.5,0,No Failure,324.9
1255,54.99,30.7,0,No Failure,308.15
1660,32.48,67.6,0,No Failure,311.25
1696,47.78,53.3,0,No Failure,353.35999999999996
1893,49.21,181.4,1,Tool Wear Failure,319.77
1250,26.39,214.2,1,Tool Wear Failure,328.33
1348,51.64,0.0,0,No Failure,341.66999999999996
2094,27.52,208.9,1,Heat Dissipation Failure,352.41999999999996
1492,39.01,120.2,0,No Failure,330.55999999999995
1561,45.56,175.8,0,No Failure,327.89
1489,34.77,145.4,0,No Failure,334.08
1947,46.16,201.4,1,Tool Wear Failure,324.99
1960,45.93,127.6,0,No Failure,325.69
1940,33.52,33.2,0,No Failure,338.5
1559,52.95,108.7,0,No Failure,335.55999999999995
1245,34.3,145.9,1,Heat Dissipation Failure,360.85999999999996
2224,77.03,102.0,1,Power Failure,338.85999999999996
1850,43.47,154.5,0,No Failure,348.10999999999996
1390,28.6,111.1,0,No Failure,319.21999999999997
2048,31.22,79.3,0,No Failure,339.97999999999996
1363,61.07,49.8,0,No Failure,323.75
2044,39.27,91.5,0,No Failure,338.28999999999996
2067,25.91,127.3,0,No Failure,342.09999999999997
1227,56.95,0.0,0,No Failure,333.79999999999995
1754,39.18,68.2,1,Heat Dissipation Failure,364.45
1824,54.15,0.0,0,No Failure,351.71
2465,58.1,78.0,1,Power Failure,348.45
1290,48.84,186.8,0,No Failure,343.09
2051,78.54,43.8,1,Power Failure,356.07
1556,20.85,157.2,0,No Failure,314.46999999999997
1116,33.55,260.0,1,Tool Wear Failure,350.96
1508,41.42,202.2,0,No Failure,320.26
1551,76.66,123.0,1,Power Failure,325.80999999999995
1179,70.17,166.5,0,No Failure,340.45
1659,63.04,32.8,1,Power Failure,349.17999999999995
1885,33.88,20.6,0,No Failure,318.15
1633,35.51,116.7,0,No Failure,326.49
1360,33.4,138.9,0,No Failure,334.41999999999996
1498,34.03,180.7,0,No Failure,330.72999999999996
1548,65.9,80.9,0,No Failure,344.25
1626,41.59,126.6,1,Heat Dissipation Failure,377.82
1938,43.44,124.5,0,No Failure,338.59999999999997
1645,55.84,107.1,0,No Failure,323.59
1059,21.71,110.7,0,No Failure,316.29999999999995
1353,45.74,63.7,0,No Failure,328.91999999999996
1608,29.64,131.8,0,No Failure,320.92999999999995
1943,40.88,126.7,0,No Failure,339.22999999999996
2004,36.79,88.6,0,No Failure,339.03
2171,36.07,154.9,1,Heat Dissipation Failure,327.13
1596,48.16,176.7,1,Heat Dissipation Failure,358.95
1817,48.1,155.6,0,No Failure,323.59
1041,41.92,52.5,0,No Failure,331.59999999999997
1700,50.19,121.0,0,No Failure,341.46
1174,32.84,60.3,0,No Failure,344.75
1528,54.54,120.8,0,No Failure,349.76
2600,42.11,60.5,1,Power Failure,338.71999999999997
1656,38.23,191.6,0,No Failure,346.80999999999995
1248,33.87,162.0,0,No Failure,324.5
1693,41.62,184.2,0,No Failure,345.09
1369,71.19,178.1,1,Tool Wear Failure,344.90999999999997
1214,44.11,98.8,0,No Failure,352.82
2286,28.98,89.5,0,No Failure,311.46
1923,57.86,219.5,1,Power Failure,321.35999999999996
1671,38.39,105.1,0,No Failure,343.84999999999997
1413,48.97,33.7,0,No Failure,308.15
1441,36.52,175.4,0,No Failure,339.54999999999995
2090,62.93,123.6,1,Power Failure,346.92999999999995
1657,36.73,205.4,0,No Failure,325.65999999999997
600,64.57,129.6,0,No Failure,327.55999999999995
2397,30.31,113.8,1,Heat Dissipation Failure,319.19
1614,40.9,206.6,1,Tool Wear Failure,326.37
1670,64.6,22.7,1,Power Failure,326.75
1930,47.35,79.9,0,No Failure,324.27
1713,76.8,61.8,1,Power Failure,323.55999999999995
1811,41.23,0.0,0,No Failure,329.63
1402,48.6,167.4,0,No Failure,329.46999999999997
1120,71.67,81.6,1,Tool Wear Failure,357.51
1648,23.81,169.3,0,No Failure,328.03
2051,22.07,138.3,0,No Failure,337.62
1323,33.86,151.4,0,No Failure,325.65
1295,56.39,87.7,0,No Failure,325.49
1977,22.46,69.1,0,No Failure,310.99
1390,53.36,120.4,0,No Failure,312.71999999999997
